player,age,flag,bats,throws,height,weight,date_of_birth,experience,G_all,GS,G_batting,G_defense,G_p_app,G_1b,G_2b,G_3b,G_ss,G_lf_app,G_cf_app,G_rf_app,G_of_app,WAR,Salary,allstar_appearance
Matthew Liberatore,23,us US,L,L,"6' 4""",200,6-Nov-99,2,22,11,0,22,22,0,0,0,0,0,0,0,0,-0.3,,
Irving Lopez,28,mx MX,L,R,"5' 7""",175,30-Jun-95,1st,5,3,5,5,0,0,2,3,0,0,0,0,0,-0.4,,
Steven Matz,32,us US,R,L,"6' 2""",201,29-May-91,9,25,17,0,25,25,0,0,0,0,0,0,0,0,1.7,"$10,500,000 ",
Óscar Mercado,28,co CO,R,R,"6' 2""",197,16-Dec-94,5,20,7,20,17,0,0,0,0,0,7,4,8,17,-0.2,,
Miles Mikolas,34,us US,R,R,"6' 4""",230,23-Aug-88,8,35,35,0,35,35,0,0,0,0,0,0,0,0,1.9,"$18,750,000 ",
Jordan Montgomery,30,us US,L,L,"6' 6""",228,27-Dec-92,7,21,21,0,21,21,0,0,0,0,0,0,0,0,2.1,"$10,000,000 ",
Taylor Motter,33,us US,R,R,"6' 1""",195,18-Sep-89,6,29,21,29,28,0,1,14,12,3,0,0,1,1,-0.6,"$775,000 ",
James Naile,30,us US,R,R,"6' 4""",185,8-Feb-93,2,10,0,1,10,10,0,0,0,0,0,0,0,0,-0.6,,
Packy Naughton,27,us US,R,L,"6' 2""",195,16-Apr-96,3,4,0,0,4,4,0,0,0,0,0,0,0,0,0.2,"$728,750 ",
Lars Nootbaar,25,us US,L,R,"6' 3""",210,8-Sep-97,3,117,112,117,114,0,0,0,0,0,24,73,34,114,3.3,"$732,400 ",
Tyler O'Neill,28,ca CA,R,R,"5' 11""",200,22-Jun-95,6,72,59,72,70,0,0,0,0,0,58,13,0,70,0.3,"$4,950,000 ",
Richie Palacios,26,us US,L,R,"5' 10""",180,16-May-97,2,32,25,32,27,0,0,1,0,0,17,8,2,26,0.5,,
Andre Pallante,24,us US,R,R,"6' 0""",203,18-Sep-98,2,62,0,0,62,62,0,0,0,0,0,0,0,0,0.1,"$728,600 ",
Juniel Querecuto,30,ve VE,B,R,"5' 9""",195,19-Sep-92,2,9,5,9,8,0,2,2,5,0,0,0,0,0,-0.2,,
Drew Rom,23,us US,L,L,"6' 2""",215,15-Dec-99,1st,8,8,0,8,8,0,0,0,0,0,0,0,0,-1,,
JoJo Romero,26,us US,L,L,"5' 11""",200,9-Sep-96,4,27,0,1,27,27,0,0,0,0,0,0,0,0,0.6,,
Michael Siani,23,us US,L,L,"6' 1""",188,16-Jul-99,2,5,0,5,3,0,0,0,0,0,0,3,0,3,-0.2,,
Chris Stratton,32,us US,R,R,"6' 2""",205,22-Aug-90,8,42,0,0,42,42,0,0,0,0,0,0,0,0,0.1,"$2,800,000 ",
Andrew Suárez,30,us US,L,L,"6' 0""",202,11-Sep-92,4,13,0,0,13,13,0,0,0,0,0,0,0,0,-0.6,,
Ryan Tepera,35,us US,R,R,"6' 1""",195,3-Nov-87,9,2,0,0,2,2,0,0,0,0,0,0,0,0,-0.1,,
Zack Thompson,25,us US,L,L,"6' 2""",215,28-Oct-97,2,25,9,0,25,25,0,0,0,0,0,0,0,0,0.6,"$725,000 ",
Drew VerHagen,32,us US,R,R,"6' 6""",230,22-Oct-90,8,60,0,0,60,60,0,0,0,0,0,0,0,0,0.5,"$3,000,000 ",
Adam Wainwright,41,us US,R,R,"6' 7""",230,30-Aug-81,18,23,21,2,21,21,0,0,0,0,0,0,0,0,-2,"$17,500,000 ",
Jordan Walker,21,us US,R,R,"6' 6""",245,22-May-02,1st,117,115,117,110,0,0,0,0,0,19,0,93,110,-0.1,,
Masyn Winn,21,us US,R,R,"5' 11""",180,21-Mar-02,1st,37,36,37,37,0,0,0,0,37,0,0,0,0,-0.6,,
Jake Woodford,26,us US,R,R,"6' 4""",215,28-Oct-96,4,15,8,0,15,15,0,0,0,0,0,0,0,0,-0.4,"$739,800 ",
Juan Yepez,25,ve VE,R,R,"6' 1""",200,19-Feb-98,2,28,15,28,12,0,0,0,0,0,9,0,3,12,-0.7,,
Guillermo Zuñiga,24,co CO,R,R,"6' 5""",230,10-Oct-98,1st,2,0,0,2,2,0,0,0,0,0,0,0,0,0,,
