player,age,flag,bats,throws,height,weight,date_of_birth,experience,G_all,GS,G_batting,G_defense,G_p_app,G_1b,G_2b,G_3b,G_ss,G_lf_app,G_cf_app,G_rf_app,G_of_app,WAR,Salary,allstar_appearance
Roel Ramírez,25,us US,R,R,"6' 0""",235,26-May-95,1st,1,0,0,1,1,0,0,0,0,0,0,0,0,-0.3,,
Rangel Ravelo,28,cu CU,R,R,"6' 0""",235,24-Apr-92,2,13,10,13,7,0,3,0,0,0,1,0,4,5,-0.2,,
Alex Reyes,25,us US,R,R,"6' 4""",220,29-Aug-94,4,15,1,0,15,15,0,0,0,0,0,0,0,0,-0.2,,
Ricardo Sanchez,23,ve VE,L,L,"5' 10""",220,11-Apr-97,1st,3,0,0,3,3,0,0,0,0,0,0,0,0,-0.1,,
Max Schrock,25,us US,L,R,"5' 9""",185,12-Oct-94,1st,11,4,11,7,1,0,5,2,0,0,0,0,0,0,,
Lane Thomas,24,us US,R,R,"6' 0""",198,23-Aug-95,2,18,10,18,18,0,0,0,0,0,0,7,14,18,-0.2,,
Adam Wainwright,38,us US,R,R,"6' 7""",230,30-Aug-81,15,10,10,0,10,10,0,0,0,0,0,0,0,0,0.5,"$5,000,000 ",
Tyler Webb,29,us US,L,L,"6' 5""",240,20-Jul-90,4,21,0,0,21,21,0,0,0,0,0,0,0,0,0.4,,
Kodi Whitley,25,us US,R,R,"6' 3""",220,21-Feb-95,1st,4,0,0,4,4,0,0,0,0,0,0,0,0,0.1,,
Matt Wieters,34,us US,B,R,"6' 5""",235,21-May-86,12,19,12,19,18,0,0,0,0,0,0,0,0,0,0,"$2,000,000 ",
Justin Williams,24,us US,L,R,"6' 1""",235,20-Aug-95,2,3,2,3,2,0,0,0,0,0,0,0,2,2,0,,
Kolten Wong,29,us US,L,R,"5' 7""",185,10-Oct-90,8,53,48,53,53,0,0,53,0,0,0,0,0,0,1.3,"$10,250,000 ",
Jake Woodford,23,us US,R,R,"6' 4""",215,28-Oct-96,1st,12,1,1,12,12,0,0,0,0,0,0,0,0,-0.3,,
Nolan Arenado,30,us US,R,R,"6' 2""",215,16-Apr-91,9,157,157,157,155,0,0,0,155,0,0,0,0,0,4,"$35,000,000 ",All-Star
Harrison Bader,27,us US,R,R,"6' 0""",210,3-Jun-94,5,103,101,103,103,0,0,0,0,0,0,103,0,103,3.8,"$2,000,000 ",
Génesis Cabrera,24,do DO,L,L,"6' 2""",180,10-Oct-96,3,71,0,68,71,71,0,0,0,0,0,0,0,0,0.2,,
Dylan Carlson,22,us US,B,L,"6' 2""",205,23-Oct-98,2,149,145,149,145,0,0,0,0,0,9,60,87,145,3.1,,
Matt Carpenter,35,us US,L,R,"6' 4""",210,26-Nov-85,11,130,44,130,53,1,14,34,6,0,0,0,0,0,-1.1,"$18,500,000 ",
Austin Dean,27,us US,R,R,"6' 0""",215,14-Oct-93,4,22,4,22,9,0,0,0,0,0,6,0,3,9,0,,
Paul DeJong,27,us US,R,R,"6' 0""",205,2-Aug-93,5,113,100,113,107,0,0,0,0,107,0,0,0,0,1.5,"$4,166,667 ",
Brandon Dickson,36,us US,R,R,"6' 5""",190,3-Nov-84,3,2,0,2,2,2,0,0,0,0,0,0,0,0,-0.1,,
Tommy Edman,26,us US,B,R,"5' 10""",180,9-May-95,3,159,153,159,157,0,0,130,0,4,0,0,41,41,3.5,,
Seth Elledge,25,us US,R,R,"6' 3""",240,20-May-96,2,11,0,11,11,11,0,0,0,0,0,0,0,0,-0.1,,
Junior Fernández,24,do DO,R,R,"6' 3""",215,2-Mar-97,3,18,0,16,18,18,0,0,0,0,0,0,0,0,-0.1,,
Jack Flaherty,25,us US,R,R,"6' 4""",225,15-Oct-95,5,17,15,15,17,17,0,0,0,0,0,0,0,0,1.1,"$3,900,000 ",
Bernardo Flores Jr.,25,us US,L,L,"6' 4""",190,23-Aug-95,2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,,
Giovanny Gallegos,29,mx MX,R,R,"6' 2""",215,14-Aug-91,5,73,0,69,73,73,0,0,0,0,0,0,0,0,1.3,,
John Gant,28,us US,R,R,"6' 4""",200,6-Aug-92,6,25,14,22,25,25,0,0,0,0,0,0,0,0,0.8,"$2,100,000 ",
Luis García,34,do DO,R,R,"6' 2""",240,30-Jan-87,9,34,0,31,34,34,0,0,0,0,0,0,0,0,0.4,,
Paul Goldschmidt,33,us US,R,R,"6' 3""",220,10-Sep-87,11,158,157,158,153,0,153,0,0,0,0,0,0,0,6,"$26,000,000 ",
J.A. Happ,38,us US,L,L,"6' 5""",205,19-Oct-82,15,11,11,10,11,11,0,0,0,0,0,0,0,0,0.4,,
Ryan Helsley,26,us US,R,R,"6' 2""",230,18-Jul-94,3,51,0,48,51,51,0,0,0,0,0,0,0,0,-0.2,,
Jordan Hicks,24,us US,R,R,"6' 2""",220,6-Sep-96,3,10,0,10,10,10,0,0,0,0,0,0,0,0,-0.1,"$863,000 ",
Dakota Hudson,26,us US,R,R,"6' 5""",215,15-Sep-94,4,2,1,2,2,2,0,0,0,0,0,0,0,0,0.3,,
Scott Hurst,25,us US,L,R,"5' 9""",175,25-Mar-96,1st,7,0,7,6,0,0,0,0,0,0,6,0,6,-0.1,,
Kwang Hyun Kim,32,kr KR,L,L,"6' 2""",195,22-Jul-88,2,27,21,25,27,27,0,0,0,0,0,0,0,0,1.2,"$4,000,000 ",
Andrew Knizner,26,us US,R,R,"6' 1""",225,3-Feb-95,3,63,43,63,58,0,1,0,0,0,0,0,0,0,-0.3,,
Wade LeBlanc,36,us US,L,L,"6' 2""",195,7-Aug-84,13,12,8,11,12,12,0,0,0,0,0,0,0,0,0.5,,
Jon Lester,37,us US,L,L,"6' 4""",249,7-Jan-84,16,12,12,11,12,12,0,0,0,0,0,0,0,0,0.2,,
Carlos Martinez,29,do DO,R,R,"6' 0""",200,21-Sep-91,9,16,16,16,16,16,0,0,0,0,0,0,0,0,-1.3,"$11,700,000 ",
T.J. McFarland,32,us US,L,L,"6' 3""",200,8-Jun-89,9,38,0,36,38,38,0,0,0,0,0,0,0,0,0.8,,
Miles Mikolas,32,us US,R,R,"6' 4""",230,23-Aug-88,6,9,9,9,9,9,0,0,0,0,0,0,0,0,-0.1,"$17,000,000 ",
Andrew Miller,36,us US,L,L,"6' 7""",200,21-May-85,16,40,0,37,40,40,0,0,0,0,0,0,0,0,-0.1,"$12,000,000 ",
Justin Miller,34,us US,R,R,"6' 3""",225,13-Jun-87,6,18,0,16,18,18,0,0,0,0,0,0,0,0,0,,
Yadier Molina,38,pr PR,R,R,"5' 11""",225,13-Jul-82,18,121,118,121,118,0,1,0,0,0,0,0,0,0,1.7,"$9,000,000 ",All-Star
Max Moroff,28,us US,B,R,"5' 10""",190,13-May-93,5,6,3,6,5,0,0,4,1,0,0,0,0,0,-0.3,,
John Nogowski,28,us US,R,L,"6' 0""",245,5-Jan-93,2,19,0,19,3,0,3,0,0,0,0,0,0,0,-0.3,,
Lars Nootbaar,23,us US,L,R,"6' 3""",210,8-Sep-97,1st,58,23,58,34,0,0,0,0,0,9,0,26,34,0.7,,
Tyler O'Neill,26,ca CA,R,R,"5' 11""",200,22-Jun-95,4,138,130,138,131,0,0,0,0,0,131,0,0,131,6.1,,
Johan Oviedo,23,cu CU,R,R,"6' 5""",245,2-Mar-98,2,14,13,13,14,14,0,0,0,0,0,0,0,0,-0.4,,
Daniel Ponce de Leon,29,us US,R,R,"6' 3""",200,16-Jan-92,4,24,2,22,24,24,0,0,0,0,0,0,0,0,-0.7,,
Roel Ramírez,26,us US,R,R,"6' 0""",235,26-May-95,2,1,0,1,1,1,0,0,0,0,0,0,0,0,-0.1,,
Alex Reyes,26,us US,R,R,"6' 4""",220,29-Aug-94,5,70,0,67,69,70,0,0,0,0,0,0,0,0,0.7,"$900,000 ",All-Star
Angel Rondón,23,do DO,R,R,"6' 1""",205,1-Dec-97,1st,2,0,2,2,2,0,0,0,0,0,0,0,0,0.1,,
José Rondon,27,ve VE,R,R,"6' 1""",215,3-Mar-94,4,63,9,63,17,0,1,2,7,0,2,0,7,9,0.1,,
